,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,BsmtBath,Bath,2Materials,MSZoning_RL,MSZoning_RM,Alley_No,LotShape_Reg,LotShape_IR1,LandContour_Lvl,LotConfig_Inside,LotConfig_Corner,LandSlope_Gtl,Condition1_Norm,BldgType_1Fam,HouseStyle_1Story,HouseStyle_2Story,RoofStyle_Gable,RoofStyle_Hip,Exterior1st_VinylSd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Wd Sdng,Exterior2nd_VinylSd,Exterior2nd_MetalSd,Exterior2nd_HdBoard,MasVnrType_None,MasVnrType_BrkFace,Foundation_PConc,Foundation_CBlock,BsmtExposure_No,BsmtExposure_Av,Heating_GasA,Electrical_SBrkr,GarageType_Attchd,GarageType_Detchd,PavedDrive_Y,MiscFeature_No,SaleType_WD,SaleCondition_Normal,MSSubClass_120,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSSubClass_150,SalePrice
2,3,4.23410650459726,9.328212292571072,2,2,2,1,1,197200.0,3,2,4,7,5,2001,2002,2,3,2,2,5.093750200806762,4,3,3,4,3,2,6,6.18826412308259,1,0.0,6.075346031088684,6.825460036255307,3,5,1,3,6.7650389767805414,7.488293515159428,3,0.6931471805599453,4,6,8,1,3,2,2001.0,2,608,3,3,3,0.0,3.7612001156935624,0.0,0.0,0.0,0,2,9,2008,2,1,1.0,2.5,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.317171167298682
4,3,4.442651256490317,9.565283817736766,2,2,2,1,1,301500.0,3,2,4,8,5,2000,2000,2,3,2,2,5.860786223465865,4,3,3,4,3,2,6,6.486160788944089,1,0.0,6.19644412779452,7.044032897274685,3,5,1,3,6.960347729101308,7.695757990554761,4,0.6931471805599453,4,9,8,1,3,2,2000.0,2,836,3,3,3,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0,2,12,2008,2,1,1.0,2.5,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.429220196836383
6,3,4.330733340286331,9.218804450388312,2,1,2,1,1,225500.0,3,2,3,8,5,2004,2005,2,3,2,3,5.231108616854587,4,3,3,5,3,2,6,7.222566018822171,1,0.0,5.762051382780177,7.430707082545968,3,5,1,3,0.0,7.43543801981455,3,0.6931471805599453,4,7,8,1,4,2,2004.0,2,636,3,3,3,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0,2,8,2007,2,1,1.0,2.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.634606283893019
11,3,4.454347296253507,9.386392315756542,2,2,2,1,1,314906.5,3,2,4,9,5,2005,2006,3,3,2,3,5.659482215759621,5,3,3,5,3,1,6,6.906754778648554,1,0.0,5.181783550292085,7.069874128458572,3,5,1,3,7.04141166379481,7.751475318021456,4,0.6931471805599453,5,11,8,2,4,3,2005.0,3,736,3,3,3,4.997212273764115,3.091042453358316,0.0,0.0,0.0,0,2,7,2006,3,2,1.0,3.0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.75130259456002
13,3,4.5217885770490405,9.273596821611198,2,2,2,1,1,197200.0,3,2,3,7,5,2006,2007,2,3,2,3,5.726847747587197,4,3,3,4,3,2,1,0.0,1,0.0,7.3098814858247865,7.3098814858247865,3,5,1,3,0.0,7.3098814858247865,3,0.6931471805599453,4,7,8,1,4,2,2006.0,2,840,3,3,3,5.081404364984463,3.5263605246161616,0.0,0.0,0.0,0,2,8,2007,3,2,0.0,2.0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.540761149388421
20,3,4.624972813284271,9.562123369834488,2,2,2,1,1,314906.5,3,2,4,8,5,2005,2006,2,3,2,2,5.942799375126701,4,3,3,5,3,2,1,0.0,1,0.0,7.055312843339752,7.055312843339752,3,5,1,3,7.105786129481271,7.773594467360194,4,0.6931471805599453,4,9,8,1,4,3,2005.0,2,853,3,3,3,5.484796933490655,5.043425116919247,0.0,0.0,0.0,0,2,11,2006,3,2,0.0,3.5,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.692506186542177
22,3,4.330733340286331,9.184304357425342,2,1,2,1,1,197200.0,3,2,3,8,5,2002,2002,3,3,2,2,5.641907070938114,4,3,3,4,3,1,1,0.0,1,0.0,7.48324441607385,7.48324441607385,3,5,1,3,0.0,7.493317248862145,3,0.6931471805599453,4,7,8,1,4,2,2002.0,2,534,3,3,3,5.147494476813453,5.075173815233827,0.0,0.0,0.0,0,2,9,2008,2,1,0.0,2.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.345838935721968
25,3,4.709530201312334,9.56317796268366,2,1,2,1,1,314906.5,3,2,3,8,5,2007,2007,2,3,2,3,6.46302945692067,4,3,3,4,3,1,1,0.0,1,0.0,7.356918242356021,7.356918242356021,3,5,1,3,0.0,7.3783837129967145,3,0.6931471805599453,4,7,8,1,4,2,2007.0,2,890,3,3,3,0.0,4.04305126783455,0.0,0.0,0.0,0,2,7,2009,2,1,0.0,2.0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.454107814022272
27,3,4.59511985013459,9.348274558065496,2,1,2,1,1,314906.5,3,2,3,8,5,2007,2008,2,3,2,3,5.303304908059076,4,3,3,5,3,1,6,7.105786129481271,1,0.0,6.18826412308259,7.4413203897176174,3,5,1,3,0.0,7.4413203897176174,3,0.6931471805599453,4,7,8,1,4,2,2008.0,2,772,3,3,3,0.0,3.9318256327243257,0.0,0.0,0.0,0,2,5,2010,2,1,1.0,2.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.631343648903034
34,3,4.110873864173311,8.897545598709327,2,1,2,1,1,314906.5,3,2,3,9,5,2005,2005,3,4,2,2,5.5093883366279774,5,3,3,5,3,1,6,7.050989447068045,1,0.0,6.013715156042802,7.3537223303996315,3,5,1,3,0.0,7.3537223303996315,2,0.6931471805599453,5,6,8,1,4,2,2005.0,3,556,3,3,3,5.318119993844216,3.871201010907891,0.0,0.0,0.0,0,2,8,2007,2,1,1.0,2.0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.533579815765737
